,Author,Text
0,a,"the next second he had raised the surprised Filipino from off his seat and held him for an instant balanced in the air.“Turn her down-stream,” the midshipman ordered in a hoarse voice, as he flung the struggling man into the water clear of the rocking boat.Maria by a well-timed stroke had instantly spun the canoe about, and all four bent desperately to their paddles. Phil saw the broad-brimmed sombrero of their enemy floating on the surface and a fear instantly filled his thoughts that Salas might not swim. The next second he was reassured; the head of the[226] native covered with thick black hair could be plainly seen swimming toward the far shore; the menacing presence of the crocodile had deterred him from attempting to reach the land but a few strokes away. Every second the lad expected to hear a loud call for help from the outraged officer. Phil,"
1,a,"“You’re too young to be a brigadier-general, although you’ve got a star there on your shoulder-strap.”Phil smiled.[166]“Yes, sentry, I am Captain Perry of the gunboat.”“Sure, sir, you can pass me, any time,” the soldier exclaimed gladly. “That was certainly great work you done in Binalbagan. All the boys is talking about you two officers and Jack O’Neil. I’d like to meet him; he must be a corker.” The sentry had grounded his rifle and now stood at ease talking sociably, very much at home with the young midshipman.“He is here,” Phil replied. “If I may pass my party, I’ll call him.”“Certainly, captain, anything you say goes with me,” the sentry returned enthusiastically.The carriage, followed by the band of a dozen natives, drove down the street away from the city. Phil caught a wave of a hand from the window as he turned and started for the gunboat and his bunk,"
2,a,"Kapay. He was scarcely older than Phil, and yet he held the rank of colonel.“Your name, señor,” she smiled, “is one[210] well known throughout Kapay. In appearance you are not the ogre that you are painted.”Colonel Salas’ white, even teeth gleamed between his thin lips. He felt himself the master of the situation. Here was the proud daughter of Rodriguez complimenting him. His small soul was nourished by the thought that he was feared by all.“Then, señorita,” he said, “if you do not consider me an ogre, will you and your English friends accept the offer of a share in my frugal meal? It is now ready inside.”The midshipmen had watched with beating hearts this plucky girl’s brave fence with the subtle native and as he pronounced the word English he glanced at the silent lads. Phil thought he saw a gleam of joy in his cruel eyes.“They do not"
3,a,"we had in the dago country and up with them pigtailed chinks.”The midshipmen slapped the loquacious sailor joyfully on the back.[14]“You’re not half as glad to be with us as we are to have you,” Phil exclaimed frankly. “We’re just aching for something worth while—we’ve been roasting up on the Yangtse River since you left us, doing nothing except watch the grass burn up and the water in the river fall. I never felt such heat.”While the Americans were talking the little steamer slipped noisily down the busy river and out on the bay made famous by Admiral Dewey on that memorable May morning.Corregidor Island lifted itself slowly out of a molten sea to the westward. The “Negros’” bow was pointed out through the southern channel, passing close to the precipitous island, standing like an unbending sentinel on guard between the wide portals of the Bay of Manila.“A few guns"
4,a,"now being idly collected. Into these spacious storehouses the sinews of war for the army of occupation were being hoarded to be afterward redistributed among the small steamers plying between the metropolis, Manila, and the outlying islands of the archipelago.The American army in the Philippines, always too small for the stupendous task before it, was at last, owing to the added disaffection of the tribes in the Southern islands, receiving the attention from home which had long been withheld, and its numbers were being increased by the arrival of every transport from the far-away homeland.“We are here at last, Syd,” Midshipman Philip Perry exclaimed, a ring of triumph in his voice as he turned toward his fellow midshipman, Sydney Monroe. Friends of long[11] standing were these two; for four years at the Naval Academy at Annapolis they had been companions and classmates, and during the past year they had together"
5,a,"never explain his actions. He would doubtless pay for this treachery with his life. But his cruel mind was instantly made up as to his future actions. He feared this American too thoroughly not to take them to the place where the Tagalos under Martinez were encamped; above all else Captain Blynn must be made to believe that he was sincere; all depended upon that. Everything must be sacrificed for his final great ambition. Martinez would not be taken alive. That was a necessity, he would see to that. Once he was killed his part in the night’s expedition must remain a secret among the Americans.Casting from him his first fears he straightened his slight frame and rode boldly, with head erect, beside the American leader.One hour before sunrise Captain Blynn disposed his command in a single circular line about the base of a high hill; its sides[76] were covered"
6,a,"without a second’s hesitation. “What are we to see?” he asked, unable to control his curiosity at the mystery of it all.“Come, you shall discover for yourself,” she said as she moved forward, her hand still in Phil’s, while Sydney held his companion by[152] the coat sleeve and Lopez, as noiseless as an Apache, brought up the rear. “The meeting will not take place for some time, and meanwhile we shall have time to talk.”Silently they moved forward until presently, from the sound of their footfalls, Phil knew that the walls had receded and that they had entered a large chamber.“The stairs, señor,” Maria whispered, and the lads found themselves mounting earthen steps. Again their feet struck wooden boards and they knew that they had ascended from the passage and were in a large room directly over the one which they had just left.“This is the old Spanish inquisition room,”"
7,a,"with age. They finally hired a carramata, the native cab, and drove through the city and out on the military road, begun by the Spaniards years before but, as was the custom of the country, never finished. As they drove into the Plaza on their return they came face to face with Señor Espinosa, riding a blooded horse which was prancing and pawing the earth, and making vain attempts to unseat its rider. Espinosa drew rein and bowed pointedly and courteously to the Americans.“Señores,” he called eagerly, “may I have a word with you?”Phil ordered his cochero to stop, while Espinosa dismounted, throwing his reins to a[99] small native gamin near by. The native advanced to the carriage hat in hand and with as much ceremony as if he were about to speak to some exalted personage.“I am extremely mortified at my actions of yesterday,” he exclaimed in his fluent"
8,a,"loud voice in the Visayan tongue from the building they had just left was answered by many excited voices in the gathered crowd, and then several women advanced slowly, holding up their hands in sign of peace, their bodies close together as if for mutual protection. The lads scarcely noticed the approach of the women, so occupied were they in watching the building in which were imprisoned five of the traitors who had been biting the hand of the master that fed them. A swift glance over his shoulder showed Phil[186] that the advancing women were scarce ten paces away from Sydney, who was guarding one corner of the house, while he was some thirty feet away, guarding the other three sides. The soldiers were not over a block away and hastening toward him; he could hear the rattle of their gun slings, and the thud of their heavy shoes"
9,a,"about quickly and gaze into the amused but wicked eyes of Colonel Salas. “So we are to have the pleasure of your company as our guest, after all?” the Filipino continued tauntingly. “General Espinosa is making great preparations for your reception. It is needless for me to tell you how delighted he is that you have changed your mind. He was very angry at me for not insisting on your coming with me the other day.”Phil regarded the little native, a fine scorn in his eyes. He would have liked nothing better than to have answered him in the same ironical vein, but he realized that to do so and anger him would only make more difficult their position.“He will be here to pay his respects shortly,”[312] Salas continued ironically. “Ah! here he comes now.”With his heart beating fast and the muscles in his throat tightening, Phil saw Espinosa sauntering"
